PID,fgs_label_s
islandora:30107,smith_ssc_324_b1041_f016_014_p001
islandora:21079,smith_ssc_324_b1029_f010_023_p002
islandora:6651,smith_ssc_324_b1008_f003_028_p001
islandora:15224,smith_ssc_324_b1019_f012_008_p002
islandora:23647,smith_ssc_324_b1032_f012_010_p001
islandora:25638,smith_ssc_324_b1037_f008_005_p001
islandora:11026,smith_ssc_324_b1015_f009_011_p002
islandora:3298,smith_ssc_324_b1005_f003_074_p002
islandora:23157,smith_ssc_324_b1032_f002_017_p002
islandora:13056,smith_ssc_324_b1017_f005_025_p002.JPG
islandora:29677,smith_ssc_324_b1040_f020_062_p002
islandora:28447,smith_ssc_324_b1039_f016_005_p001
islandora:23637,smith_ssc_324_b1032_f012_005_p001
islandora:7625,smith_ssc_324_b1010_f004_013_p001
islandora:23126,smith_ssc_324_b1032_f002_001_p001
islandora:25653,smith_ssc_324_b1037_f008_013_p001
islandora:23625,smith_ssc_324_b1032_f011_019_p001
islandora:12422,smith_ssc_324_b1016_f014_002_p001
islandora:3246,smith_ssc_324_b1005_f003_048_p002
islandora:2751,smith_ssc_324_b1004_f007_029_p001
islandora:3199,smith_ssc_324_b1005_f003_025_p001
islandora:14953,smith_ssc_324_b1019_f003_025_p001
islandora:27449,smith_ssc_324_b1037_f020_031_p002
islandora:15228,smith_ssc_324_b1019_f012_010_p002
islandora:23638,smith_ssc_324_b1032_f012_005_p002
islandora:26432,smith_ssc_324_b1038_f011_004_p002
islandora:27458,smith_ssc_324_b1037_f020_036_p001
islandora:27430,smith_ssc_324_b1037_f020_022_p001
islandora:1195,smith_ssc_324_b1002_f002_013_p002
islandora:16411,smith_ssc_324_b1021_f009_035_p002
islandora:12189,smith_ssc_324_b1016_f009_006_p002
islandora:9354,smith_ssc_324_b1013_f004_022_p002
islandora:8510,smith_ssc_324_b1012_f002_004_p001
islandora:1113,smith_ssc_324_b1001_f015_016_p001
islandora:11166,smith_ssc_324_b1015_f013_007_p002
islandora:24712,smith_ssc_324_b1035_f006_003_p001
islandora:29554,smith_ssc_324_b1040_f019_012_p001
islandora:8575,smith_ssc_324_b1012_f002_037_p001
islandora:8989,smith_ssc_324_b1012_f009_009_p001
islandora:24781,smith_ssc_324_b1035_f008_012_p001
islandora:8579,smith_ssc_324_b1012_f002_039_p001
islandora:6640,smith_ssc_324_b1008_f003_022_p002
islandora:23276,smith_ssc_324_b1032_f003_066_p001
islandora:16122,smith_ssc_324_b1021_f005_005_p002
islandora:27262,smith_ssc_324_b1037_f013_015_p001
islandora:16442,smith_ssc_324_b1021_f009_051_p001
islandora:29332,smith_ssc_324_b1040_f014_032_p001
islandora:15054,smith_ssc_324_b1019_f006_007_p001
islandora:24658,smith_ssc_324_b1035_f004_014_p001
islandora:25267,smith_ssc_324_b1036_f021_002_p001
islandora:23776,smith_ssc_324_b1033_f005_003_p001
islandora:12501,smith_ssc_324_b1016_f014_042_p002
islandora:3258,smith_ssc_324_b1005_f003_054_p002
islandora:12437,smith_ssc_324_b1016_f014_009_p002
islandora:29678,smith_ssc_324_b1040_f020_063_p001
islandora:25399,smith_ssc_324_b1036_f027_005_p002
islandora:8545,smith_ssc_324_b1012_f002_021_p002
islandora:7396,smith_ssc_324_b1009_f007_022_p002
islandora:23239,smith_ssc_324_b1032_f003_047_p002
islandora:10174,smith_ssc_324_b1014_f004_002_p002
islandora:30128,smith_ssc_324_b1041_f016_027_p001
islandora:6412,smith_ssc_324_b1007_f009_016_p002
islandora:3078,smith_ssc_324_b1005_f001_035_p001
islandora:18767,smith_ssc_324_b1023_f001_016_p001
islandora:5400,smith_ssc_324_b1007_f005_035_p001
islandora:2703,smith_ssc_324_b1004_f007_005_p001
islandora:23206,smith_ssc_324_b1032_f003_027_p001
islandora:2493,smith_ssc_324_b1004_f001_032_p002
islandora:28402,smith_ssc_324_b1039_f015_004_p001
islandora:23041,smith_ssc_324_b1031_f021_047_p002
islandora:23039,smith_ssc_324_b1031_f021_046_p002
islandora:12252,smith_ssc_324_b1016_f009_038_p001
islandora:27276,smith_ssc_324_b1037_f014_007_p001
islandora:16463,smith_ssc_324_b1021_f009_061_p002
islandora:29679,smith_ssc_324_b1040_f020_063_p002
islandora:16338,smith_ssc_324_b1021_f008_029_p001
islandora:4854,smith_ssc_324_b1006_f012_013_p002
islandora:1150,smith_ssc_324_b1002_f001_007_p001
islandora:15257,smith_ssc_324_b1019_f012_026_p001
islandora:8939,smith_ssc_324_b1012_f008_021_p001
islandora:23780,smith_ssc_324_b1033_f005_005_p001
islandora:23107,smith_ssc_324_b1032_f001_024_p001
islandora:12510,smith_ssc_324_b1016_f014_047_p001
islandora:7653,smith_ssc_324_b1010_f004_027_p001
islandora:24653,smith_ssc_324_b1035_f004_011_p002
islandora:4909,smith_ssc_324_b1006_f012_041_p001
islandora:21974,smith_ssc_324_b1030_f002_005_p002
islandora:22616,smith_ssc_324_b1031_f010_008_p002
islandora:8615,smith_ssc_324_b1012_f004_007_p002
islandora:1937,smith_ssc_324_digital_object_151
islandora:16464,smith_ssc_324_b1021_f009_062_p001
islandora:23002,smith_ssc_324_b1031_f021_022_p001
islandora:24787,smith_ssc_324_b1035_f008_015_p001
islandora:27867,smith_ssc_324_b1038_f023_023_p002
islandora:27409,smith_ssc_324_b1037_f020_011_p002
islandora:2901,smith_ssc_324_b1004_f010_029_p001
islandora:21972,smith_ssc_324_b1030_f002_004_p002
islandora:1968,smith_ssc_324_b1003_f002_016_p001
islandora:24654,smith_ssc_324_b1035_f004_012_p001
islandora:8919,smith_ssc_324_b1012_f008_010_p002
islandora:12694,smith_ssc_324_b1017_f008_007_p001
islandora:23608,smith_ssc_324_b1032_f011_010_p002
islandora:29288,smith_ssc_324_b1040_f014_010_p001
islandora:8612,smith_ssc_324_b1012_f004_006_p001
islandora:2731,smith_ssc_324_b1004_f007_019_p001
islandora:11321,smith_ssc_324_b1016_f006_011_p001
islandora:25668,smith_ssc_324_b1037_f009_006_p002
islandora:18763,smith_ssc_324_b1023_f001_014_p001
islandora:27835,smith_ssc_324_b1038_f023_006_p001
islandora:24710,smith_ssc_324_b1035_f006_002_p001
islandora:27411,smith_ssc_324_b1037_f020_012_p002
islandora:25367,smith_ssc_324_b1036_f024_042_p001
islandora:15064,smith_ssc_324_b1019_f006_012_p002
islandora:13052,smith_ssc_324_b1017_f005_023_p002.JPG
islandora:10421,smith_ssc_324_b1014_f009_014_p002
islandora:7617,smith_ssc_324_b1010_f004_009_p001
islandora:611,smith_ssc_324_b1001_f005_008_p001
islandora:22601,smith_ssc_324_b1031_f010_001_p001
islandora:29283,smith_ssc_324_b1040_f014_007_p002
islandora:29719,smith_ssc_324_b1041_f002_013_p002
islandora:23334,smith_ssc_324_b1032_f003_104_p002
islandora:2112,smith_ssc_324_r142_m001_107
islandora:23133,smith_ssc_324_b1032_f002_005_p001
islandora:8550,smith_ssc_324_b1012_f002_024_p001
islandora:16342,smith_ssc_324_b1021_f009_001_p001
islandora:8901,smith_ssc_324_b1012_f008_001_p002
islandora:21053,smith_ssc_324_b1029_f010_010_p002
islandora:18756,smith_ssc_324_b1023_f001_010_p002
islandora:29375,smith_ssc_324_b1040_f014_053_p002
islandora:24693,smith_ssc_324_b1035_f005_014_p002
islandora:2489,smith_ssc_324_b1004_f001_030_p002
islandora:10175,smith_ssc_324_b1014_f004_003_p001
islandora:4192,smith_ssc_324_b1006_f001_005_p001
islandora:2034,smith_ssc_324_r142_m001_029
islandora:29367,smith_ssc_324_b1040_f014_049_p002
islandora:23236,smith_ssc_324_b1032_f003_046_p001
islandora:29637,smith_ssc_324_b1040_f020_033_p001
islandora:25429,smith_ssc_324_b1036_f028_013_p002
islandora:13013,smith_ssc_324_b1017_f005_002_p001.JPG
islandora:21066,smith_ssc_324_b1029_f010_017_p001
islandora:16290,smith_ssc_324_b1021_f008_003_p002
islandora:25421,smith_ssc_324_b1036_f028_009_p002
islandora:12266,smith_ssc_324_b1016_f009_045_p001
islandora:5276,smith_ssc_324_b1007_f006_026_p002
islandora:7374,smith_ssc_324_b1009_f007_011_p001
islandora:11033,smith_ssc_324_b1015_f009_015_p001
islandora:21018,smith_ssc_324_b1029_f009_010_p001
islandora:2914,smith_ssc_324_b1004_f010_037_p001
islandora:24421,smith_ssc_324_b1034_f013_004_p002
islandora:17647,smith_ssc_324_b1023_f011_015_p002
islandora:11023,smith_ssc_324_b1015_f009_010_p001
islandora:3232,smith_ssc_324_b1005_f003_041_p002
islandora:1942,smith_ssc_324_b1003_f002_003_p001
islandora:2854,smith_ssc_324_b1004_f010_005_p001
islandora:2050,smith_ssc_324_r142_m001_045
islandora:8659,smith_ssc_324_b1012_f004_030_p002
islandora:27294,smith_ssc_324_b1037_f015_002_p001
islandora:5256,smith_ssc_324_b1007_f006_016_p002
islandora:12253,smith_ssc_324_b1016_f009_038_p002
islandora:999,smith_ssc_324_b1001_f013_005_p001
islandora:3200,smith_ssc_324_b1005_f003_025_p002
islandora:2022,smith_ssc_324_r142_m001_017
islandora:25441,smith_ssc_324_b1037_f001_004_p002
islandora:21050,smith_ssc_324_b1029_f010_009_p002
islandora:23775,smith_ssc_324_b1033_f005_002_p002
islandora:29358,smith_ssc_324_b1040_f014_045_p001
islandora:29684,smith_ssc_324_b1041_f001_001_p001
islandora:16254,smith_ssc_324_b1021_f006_012_p001
islandora:1053,smith_ssc_324_b1001_f014_009_p001
islandora:6814,smith_ssc_324_b1008_f006_019_p002
islandora:16226,smith_ssc_324_b1021_f005_057_p002
islandora:13048,smith_ssc_324_b1017_f005_021_p002.JPG
islandora:30049,smith_ssc_324_b1041_f012_014_p001
islandora:23436,smith_ssc_324_b1032_f006_022_p002
islandora:10774,smith_ssc_324_b1015_f003_026_p002
islandora:11036,smith_ssc_324_b1015_f009_016_p002
islandora:25408,smith_ssc_324_b1036_f028_003_p001
islandora:21970,smith_ssc_324_b1030_f002_003_p002
islandora:10417,smith_ssc_324_b1014_f009_012_p002
islandora:16230,smith_ssc_324_b1021_f005_059_p002
islandora:3198,smith_ssc_324_b1005_f003_024_p002
