ERROR:root:No matching object found .DS_Store
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0063 smith:358007
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0064 smith:358006
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0065 smith:358005
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0066 smith:358004
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0067 smith:358003
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0068 smith:358002
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0069 smith:358001
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0070 smith:358000
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0071 smith:357999
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0072 smith:357998
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0073 smith:357997
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0074 smith:357996
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0075 smith:357995
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0076 smith:357994
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0077 smith:357993
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0078 smith:357992
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0079 smith:357991
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0080 smith:357990
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0081 smith:357989
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0082 smith:357988
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0083 smith:357987
INFO:root:One matching object found smith_ssc_324_wp_v016_n011_p0084 smith:357986
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0001 smith:357829
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0002 smith:357910
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0003 smith:357909
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0004 smith:357908
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0005 smith:357907
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0006 smith:357906
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0007 smith:357905
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0008 smith:357904
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0009 smith:357903
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0010 smith:357902
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0011 smith:357901
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0012 smith:357900
